item,iata,label,countryLabel
http://www.wikidata.org/entity/Q558204,ABA,Abakan International Airport,Russia
http://www.wikidata.org/entity/Q8981,ABZ,Aberdeen Airport,United Kingdom
http://www.wikidata.org/entity/Q1430865,ACE,César Manrique Lanzarote Airport,Spain
http://www.wikidata.org/entity/Q1430728,ADA,Adana Şakirpaşa Airport,Turkey
http://www.wikidata.org/entity/Q504382,ADB,İzmir Adnan Menderes Airport,Turkey
http://www.wikidata.org/entity/Q1138408,AER,Sochi International Airport,Russia
http://www.wikidata.org/entity/Q690894,AGP,Málaga-Costa del Sol,Spain
http://www.wikidata.org/entity/Q858844,ALA,Almaty International Airport,Kazakhstan
http://www.wikidata.org/entity/Q849314,ALC,Alicante Airport,Spain
http://www.wikidata.org/entity/Q9694,AMS,Amsterdam Schiphol Airport,Netherlands
http://www.wikidata.org/entity/Q17480,ANR,Antwerp International Airport,Belgium
http://www.wikidata.org/entity/Q1155932,AOI,Ancona/Falconara Airport,Italy
http://www.wikidata.org/entity/Q223499,ARN,Stockholm Arlanda Airport,Sweden
http://www.wikidata.org/entity/Q1431698,ASR,Erkilet International Airport,Turkey
http://www.wikidata.org/entity/Q211734,ATH,"Athens International Airport ""Eleftherios Venizelos""",Greece
http://www.wikidata.org/entity/Q1657604,AXA,Clayton J. Lloyd International Airport,United Kingdom
http://www.wikidata.org/entity/Q1430762,AXD,"Alexandroupolis International Airport ""Democritus""",Greece
http://www.wikidata.org/entity/Q827480,AYT,Antalya Airport,Turkey
http://www.wikidata.org/entity/Q1430921,BAY,Maramures International Airport,Romania
http://www.wikidata.org/entity/Q843229,BBU,Bucharest Băneasa Aurel Vlaicu International Airport,Romania
http://www.wikidata.org/entity/Q1147758,BCM,Bacău International Airport,Romania
http://www.wikidata.org/entity/Q56973,BCN,Josep Tarradellas Airport Barcelona-El Prat,Spain
http://www.wikidata.org/entity/Q1797758,BDA,L.F. Wade International Airport,United Kingdom
http://www.wikidata.org/entity/Q127955,BEG,Belgrade Nikola Tesla Airport,Serbia
http://www.wikidata.org/entity/Q8979,BFS,Belfast International Airport,United Kingdom
http://www.wikidata.org/entity/Q619980,BGO,Bergen Airport,Norway
http://www.wikidata.org/entity/Q517873,BGY,Bergamo-Il Caravaggio,Italy
http://www.wikidata.org/entity/Q8987,BHD,George Best Belfast City Airport,United Kingdom
http://www.wikidata.org/entity/Q8719,BHX,Birmingham Airport,United Kingdom
http://www.wikidata.org/entity/Q598197,BIO,Bilbao Airport,Spain
http://www.wikidata.org/entity/Q766860,BJV,Milas-Bodrum Airport,Turkey
http://www.wikidata.org/entity/Q598121,BLL,Billund Airport,Denmark
http://www.wikidata.org/entity/Q389241,BLQ,Bologna Guglielmo Marconi Airport,Italy
http://www.wikidata.org/entity/Q29863,BMA,Stockholm Bromma Airport,Sweden
http://www.wikidata.org/entity/Q1430945,BNX,Banja Luka International Airport,Bosnia and Herzegovina
http://www.wikidata.org/entity/Q612731,BOD,Bordeaux–Mérignac Airport,France
http://www.wikidata.org/entity/Q580409,BOH,Bournemouth Airport,United Kingdom
http://www.wikidata.org/entity/Q1324587,BOJ,Burgas Airport,Bulgaria
http://www.wikidata.org/entity/Q1430982,BON,Flamingo International Airport,Netherlands
http://www.wikidata.org/entity/Q27048,BQT,Brest Airport,Belarus
http://www.wikidata.org/entity/Q779805,BRI,Bari Karol Wojtyła Airport,Italy
http://www.wikidata.org/entity/Q748848,BRQ,Brno-Tuřany Airport,Czech Republic
http://www.wikidata.org/entity/Q8725,BRS,Bristol Airport,United Kingdom
http://www.wikidata.org/entity/Q28934,BRU,Brussels Airport,Belgium
http://www.wikidata.org/entity/Q156971,BSL,EuroAirport Basel-Mulhouse-Freiburg,France
http://www.wikidata.org/entity/Q156971,BSL,EuroAirport Basel-Mulhouse-Freiburg,Germany
http://www.wikidata.org/entity/Q2310549,BTK,Bratsk Airport,Russia
http://www.wikidata.org/entity/Q2310549,BTK,Bratsk Airport,Soviet Union
http://www.wikidata.org/entity/Q828379,BTS,M. R. Štefánik Airport,Slovakia
http://www.wikidata.org/entity/Q500945,BUD,Budapest Ferenc Liszt International Airport,Hungary
http://www.wikidata.org/entity/Q1200570,BUS,Batumi International Airport,Georgia
http://www.wikidata.org/entity/Q611983,BVA,Beauvais-Tillé Airport,France
http://www.wikidata.org/entity/Q1771329,BZK,Bryansk International Airport,Russia
http://www.wikidata.org/entity/Q522432,BZY,Bălți International Airport,Moldova
http://www.wikidata.org/entity/Q46280,CDG,Paris-Charles de Gaulle Airport,France
http://www.wikidata.org/entity/Q1144233,CFU,Corfu International Airport,Greece
http://www.wikidata.org/entity/Q1232348,CHQ,Chania International Airport,Greece
http://www.wikidata.org/entity/Q1132616,CIA,Rome Ciampino Airport,Italy
http://www.wikidata.org/entity/Q27315,CIT,Shymkent International Airport,Kazakhstan
http://www.wikidata.org/entity/Q1708502,CKC,Cherkasy International Airport,Ukraine
http://www.wikidata.org/entity/Q1068685,CLJ,Cluj International Airport,Romania
http://www.wikidata.org/entity/Q1431076,CMF,Chambéry Airport,France
http://www.wikidata.org/entity/Q382546,CND,Mihail Kogălniceanu International Airport,Romania
http://www.wikidata.org/entity/Q8077814,COV,Çukurova International Airport,Turkey
http://www.wikidata.org/entity/Q206277,CPH,Copenhagen Airport,Denmark
http://www.wikidata.org/entity/Q540273,CTA,Catania-Fontanarossa Airport,Italy
http://www.wikidata.org/entity/Q130270,CUF,Cuneo International Airport,Italy
http://www.wikidata.org/entity/Q1708535,CWC,Chernivtsi International Airport,Ukraine
http://www.wikidata.org/entity/Q8994,CWL,Cardiff Airport,United Kingdom
http://www.wikidata.org/entity/Q8996,DCS,Doncaster Sheffield Airport,United Kingdom
http://www.wikidata.org/entity/Q903138,DEB,Debrecen International Airport,Hungary
http://www.wikidata.org/entity/Q2371274,DGP,Daugavpils International Airport,Latvia
http://www.wikidata.org/entity/Q1431180,DLM,Dalaman Airport,Turkey
http://www.wikidata.org/entity/Q186614,DME,Domodedovo International Airport,Russia
http://www.wikidata.org/entity/Q1431225,DNK,Dnipro International Airport,Ukraine
http://www.wikidata.org/entity/Q8996,DSA,Doncaster Sheffield Airport,United Kingdom
http://www.wikidata.org/entity/Q178021,DUB,Dublin Airport,Ireland
http://www.wikidata.org/entity/Q58226,DUS,Düsseldorf Airport,Germany
http://www.wikidata.org/entity/Q642313,DZA,Dzaoudzi Pamandzi International Airport,France
http://www.wikidata.org/entity/Q156971,EAP,EuroAirport Basel-Mulhouse-Freiburg,France
http://www.wikidata.org/entity/Q156971,EAP,EuroAirport Basel-Mulhouse-Freiburg,Germany
http://www.wikidata.org/entity/Q607230,ECN,Ercan International Airport,Northern Cyprus
