item,label,description,makerLabel,inception
http://www.wikidata.org/entity/Q102234496,Trek FX Sport Carbon 4,bicycle model,Trek Bicycle Corporation,
http://www.wikidata.org/entity/Q112971981,Helkama Aino,bicycle model,Helkama,
http://www.wikidata.org/entity/Q112972003,Helkama Ainotar,bicycle model,Helkama,
http://www.wikidata.org/entity/Q112972408,Helkama Saana,bicycle model,Helkama,
http://www.wikidata.org/entity/Q112972442,Helkama Oiva,bicycle model,Helkama,
http://www.wikidata.org/entity/Q112972789,Helkama Jekku,folding bicycle model,Helkama,
http://www.wikidata.org/entity/Q112972810,Helkama Senator,low-step bicycle model,Helkama,
http://www.wikidata.org/entity/Q112972828,Helkama Vaeltaja,bicycle model,Helkama,
http://www.wikidata.org/entity/Q112972837,Helkama Victor,bicycle model,Helkama,
http://www.wikidata.org/entity/Q112974054,Helkama Kulkuri,bicycle model,Helkama,1975-01-01T00:00:00Z
http://www.wikidata.org/entity/Q112974419,Helkama Jopo,bicycle model manufactured from 1964 to 1975,Helkama,1964-01-01T00:00:00Z
http://www.wikidata.org/entity/Q112999915,Helkama Kaunotar,bicycle model,Helkama,1975-01-01T00:00:00Z
http://www.wikidata.org/entity/Q112999987,Helkama Hopeasauma,bicycle model,Helkama,1955-01-01T00:00:00Z
http://www.wikidata.org/entity/Q138720468,Lulu Bike,A range of folding bikes made in France.,MyLuluBike,2025-01-01T00:00:00Z
http://www.wikidata.org/entity/Q139597253,Marin Nicasio 1 (2025),gravel bike model from the bicycle manufacturer Marin Bikes,Marin Bikes,2025-01-01T00:00:00Z
http://www.wikidata.org/entity/Q18688785,Helkama Kuningaskulkuri,bicycle model,Helkama,
http://www.wikidata.org/entity/Q595380,Birdy,bicycle,Riese & Müller,
http://www.wikidata.org/entity/Q7286944,Raleigh Strika,children's bicycle manufactured between 1976 and 1983 in England,Raleigh Bicycle Company,
http://www.wikidata.org/entity/Q9364553,Ukraine,bicycle,KhVZ,
