item,label,description,makerLabel,inception
http://www.wikidata.org/entity/Q100876300,Canon EF-M 32mm f/1.4 STM,prime lens by Canon Inc,Canon Inc.,2018-09-01T00:00:00Z
http://www.wikidata.org/entity/Q101245617,Canon RF 50mm F1.2 L USM,prime lens,Canon Inc.,2018-09-05T00:00:00Z
http://www.wikidata.org/entity/Q102354947,Tamron SP 24-70mm F/2.8 Di VC USD G2,zoom lens by Tamron,Tamron,
http://www.wikidata.org/entity/Q104915001,Canon EF-S 18-55mm lens F4-5.6 IS STM,camera lens developed by Canon,Canon Inc.,
http://www.wikidata.org/entity/Q105044113,Sony FE 28-60mm F4-5.6,Zoom lens for the Sony E-mount,Sony Group,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q106570311,Sony FE 35mm F1.4 GM,wide-angle prime E-mount camera lens,Sony Group,
http://www.wikidata.org/entity/Q1065981,Canon EF 24–105mm lens,EF mount wide-to-telephoto zoom lens,Canon Inc.,
http://www.wikidata.org/entity/Q106925892,Carl Zeiss Batis Distagon T* 2.8/18,Full-format ultra-wide angle lens manufactured by Carl Zeiss AG for Sony E-Mount only,Carl Zeiss AG,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q107178096,Sony FE 135mm F1.8 GM,prime lens for the Sony E-mount,Sony Group,
http://www.wikidata.org/entity/Q107178119,Sony FE 50mm F1.2 GM,Full-frame prime lens made by Sony for the FE mount,Sony Group,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q107178408,Sony FE 20mm F1.8 G,Wide-angle prime E-mount camera lens made by Sony,Sony Group,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q107178829,Sony FE 24mm F1.4 GM,Wide-angle prime E-mount camera lens,Sony Group,
http://www.wikidata.org/entity/Q107311691,Tamron 17-70mm F/2.8 Di III-A VC RXD,zoom lens by Tamron,Tamron,
http://www.wikidata.org/entity/Q107591220,Tamron 150-500mm F/5-6.7 Di III VC VXD,zoom lens by Tamron,Tamron,
http://www.wikidata.org/entity/Q107622674,Tamron 11-20mm F/2.8 Di III-A RXD,wide-angle lens by Tamron,Tamron,
http://www.wikidata.org/entity/Q107622675,Tamron 70-300mm F/4.5-6.3 Di III RXD,zoom lens by Tamron,Tamron,
http://www.wikidata.org/entity/Q107622676,Tamron 28-200mm F/2.8-5.6 Di III RXD,zoom lens by Tamron,Tamron,
http://www.wikidata.org/entity/Q107622677,Tamron 70-180mm F/2.8 Di III VXD,zoom lens by Tamron,Tamron,
http://www.wikidata.org/entity/Q107975424,Canon EF-S 35mm F2.8 Macro IS STM,prime macro lens by Canon,Canon Inc.,
http://www.wikidata.org/entity/Q107977466,Canon RF 100-500mm F4.5-7.1 L IS USM,zoom lens by Canon,Canon Inc.,
http://www.wikidata.org/entity/Q10887014,Canon EF 24-85mm F3.5-4.5 USM,camera lens model released in 1996,Canon Inc.,
http://www.wikidata.org/entity/Q110096014,Sony FE 200-600mm F5.6-6.3 G OSS,Telezoom camera lens made by Sony,Sony Group,2019-06-11T00:00:00Z
http://www.wikidata.org/entity/Q110481208,Sony FE 12-24mm F2.8 GM,ultra wide-angle zoom lens for the Sony E-mount,Sony Group,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q111012077,Canon RF 100-400mm F5.6-8 IS USM,Photographic zoom lens,Canon Inc.,
http://www.wikidata.org/entity/Q111794229,Sigma 14mm F1.8 DG HSM Art,ultra-wide angle prime camera lens by Sigma,Sigma Corporation,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q111794891,Canon EF 70-200mm F2.8L IS II USM,telephoto zoom camera lens by Canon,Canon Inc.,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q111794931,Canon EF 16-35mm F4L IS USM,ultra-wide angle zoom camera lens,Canon Inc.,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q112756138,Canon RF 5.2mm F2.8 L DUAL FISHEYE,lens by Canon Inc.,Canon Inc.,
http://www.wikidata.org/entity/Q112756139,Canon RF 16mm F2.8 STM,prime lens by Canon Inc.,Canon Inc.,
http://www.wikidata.org/entity/Q112756140,Canon RF 50mm F1.8 STM,lens by Canon Inc.,Canon Inc.,
http://www.wikidata.org/entity/Q112756141,Canon RF 85mm F1.2 L USM DS,lens by Canon Inc.,Canon Inc.,
http://www.wikidata.org/entity/Q112756142,Canon RF 100mm F2.8 L Macro IS USM,lens by Canon Inc.,Canon Inc.,
http://www.wikidata.org/entity/Q112756144,Canon RF 400mm F2.8 L IS USM,lens by Canon Inc.,Canon Inc.,
http://www.wikidata.org/entity/Q112756145,Canon RF 800mm F5.6 L IS USM,lens by Canon Inc.,Canon Inc.,
http://www.wikidata.org/entity/Q112756146,Canon RF 600mm F4 L IS USM,lens by Canon Inc.,Canon Inc.,
http://www.wikidata.org/entity/Q112756147,Canon RF 1200mm F8 L IS USM,lens by Canon Inc.,Canon Inc.,
http://www.wikidata.org/entity/Q112756148,Canon RF 14-35mm F4 L IS USM,lens by Canon Inc.,Canon Inc.,
http://www.wikidata.org/entity/Q112756150,Canon RF 15-35mm F2.8 L IS USM,lens by Canon Inc.,Canon Inc.,
http://www.wikidata.org/entity/Q112756151,Canon RF-S 18-45mm F4.5-6.3 IS STM,lens by Canon Inc.,Canon Inc.,
http://www.wikidata.org/entity/Q112756152,Canon RF-S 18-150mm F3.5-6.3 IS STM,photographic zoom lens,Canon Inc.,2022-06-23T00:00:00Z
