item,label,description,makerLabel,inception
http://www.wikidata.org/entity/Q1004258,Fujifilm FinePix S5000,digital camera model,Fujifilm Corporation,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1004262,Fujifilm FinePix S5200,digital camera model,Fujifilm Corporation,
http://www.wikidata.org/entity/Q100774569,Panasonic Lumix DC-S5,Mirrorless Interchangeable-Lens Camera,Panasonic Holdings Corporation,2020-09-25T00:00:00Z
http://www.wikidata.org/entity/Q100775896,Sony α7S III,professional mirrorless interchangeable-lens camera with full-frame sensor from Sony,Sony Group,
http://www.wikidata.org/entity/Q101247282,Sony α7C,compact mirrorless interchangeable-lens camera with full-frame sensor from Sony,Sony Group,
http://www.wikidata.org/entity/Q102348262,Fujifilm X-S10,Digital Mirrorless camera,Fujifilm Corporation,2020-11-19T00:00:00Z
http://www.wikidata.org/entity/Q1030263,Nikon D5000,digital camera model,Nikon,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1033539,Canon PowerShot S100,digital camera model,Canon Inc.,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10373386,Sony Cyber-shot DSC-W35,digital camera model,Sony Group,2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1038814,Panasonic Lumix DMC-G1,digital camera model,Panasonic Holdings Corporation,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1039918,Nikon D5100,digital single-lens reflex camera by Nikon,Nikon,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1040045,Nikon D7000,digital camera model,Nikon,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10403166,Agfa ePhoto CL18,digital camera model,Agfa-Gevaert,2000-04-12T00:00:00Z
http://www.wikidata.org/entity/Q1041905,Sony Alpha 550,digital SLR camera with APS-C sensor from Sony,Sony Group,2009-08-01T00:00:00Z
http://www.wikidata.org/entity/Q10441732,Canon Digital IXUS 30,digital camera model,Canon Inc.,
http://www.wikidata.org/entity/Q10441733,Canon Digital IXUS 65,digital camera model,Canon Inc.,
http://www.wikidata.org/entity/Q10441735,Canon Digital IXUS 60,digital camera model,Canon Inc.,
http://www.wikidata.org/entity/Q10441741,Canon PowerShot A710 IS,digital camera model,Canon Inc.,
http://www.wikidata.org/entity/Q1047655,Casio Exilim Pro EX-F1,digital camera model,Casio,
http://www.wikidata.org/entity/Q104772572,Sony Cyber-shot DSC-HX99,Sony compact camera,Sony Group,
http://www.wikidata.org/entity/Q1048177,Nikon D90,digital camera model,Nikon,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q104864100,Nikon ℤ 6Ⅱ,Full-frame mirrorless interchangeable-lens camera,Nikon,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q105086737,Sony α1,professional mirrorless interchangeable-lens camera with full-frame sensor from Sony,Sony Group,
http://www.wikidata.org/entity/Q105102556,Fujifilm GFX100S,Medium-format mirrorless digital camera,Fujifilm Corporation,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q105102586,Fujifilm X-E4,2021 mirrorless camera model,Fujifilm Corporation,2021-01-27T00:00:00Z
http://www.wikidata.org/entity/Q10547606,Konica Minolta Dimage A200,digital camera model,Konica Minolta,
http://www.wikidata.org/entity/Q105502265,Sony Cyber-shot DSC-HX1,digital camera model,Sony Group,
http://www.wikidata.org/entity/Q10568849,Logitech ClickSmart 420,digital camera model,Logitech,
http://www.wikidata.org/entity/Q1057048,Nikon D40,digital single-lens camera by Nikon,Nikon,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q105753164,Lumix DMC-FZ2500,camera model,Panasonic Holdings Corporation,
http://www.wikidata.org/entity/Q105883413,Sony FX3,full-frame mirrorless compact cinema camera,Sony Group,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q105883423,Canon EOS R1,digital mirrorless camera by Canon Inc.,Canon Inc.,2024-11-14T00:00:00Z
http://www.wikidata.org/entity/Q10600766,Nikon D2Xs,digital camera model,Nikon,2006-06-01T00:00:00Z
http://www.wikidata.org/entity/Q106019991,Nikon Z 9,full-frame mirrorless interchangeable-lens camera,Nikon,
http://www.wikidata.org/entity/Q106204863,Hasselblad H3D-39,digital camera model,Hasselblad,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q106303442,Pentax K-3 Mark III,Digital Single-reflex Camera,Ricoh,2021-04-23T00:00:00Z
http://www.wikidata.org/entity/Q1063700,Panasonic Lumix DMC-FZ50,digital camera model,Panasonic Holdings Corporation,
http://www.wikidata.org/entity/Q1063853,Nikon D80,digital camera model,Nikon,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q106452650,Sony Mavica MVC-CD350,digital camera model,Sony Group,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q106452681,Sony Mavica MVC-CD500,digital camera model,Sony Group,2003-01-01T00:00:00Z
