item,label,description,makerLabel,inception
http://www.wikidata.org/entity/Q103980885,TV Sports Star Model-105,Pong console,Y.S.A.,
http://www.wikidata.org/entity/Q1046862,ColecoVision,1982 second generation home video-game console,Coleco,
http://www.wikidata.org/entity/Q1055215,V.Smile,educational home video game console released by VTech in 2004,VTech,
http://www.wikidata.org/entity/Q108502055,Hyperkin RetroN 77,Home game console compatible with the Atari 2600.,Hyperkin,
http://www.wikidata.org/entity/Q108502306,Hyperkin Retron 1,Home video game console,Hyperkin,
http://www.wikidata.org/entity/Q111303693,Etch A Sketch Animator 2000,portable video game console,Ohio Art Company,1987-01-01T00:00:00Z
http://www.wikidata.org/entity/Q11330544,VISICOM,home game console,Toshiba,
http://www.wikidata.org/entity/Q1136902,PC-FX,home video game console released by NEC in 1994,NEC,
http://www.wikidata.org/entity/Q1140676,Cassette Vision,second-generation home video game console released by Epoch Co. in 1981,Epoch Co.,
http://www.wikidata.org/entity/Q1147227,Cybiko,Handheld game console and PDA,"Cybiko, Inc.",
http://www.wikidata.org/entity/Q114834055,Cary42,portable game console,Love Hultén,
http://www.wikidata.org/entity/Q114881659,Arctic GC Pro,game console,Arctic,
http://www.wikidata.org/entity/Q115074477,Retro Duo,home game console,Retro-bit,
http://www.wikidata.org/entity/Q115075780,Hyperkin Supa Retron HD,home game console,Hyperkin,
http://www.wikidata.org/entity/Q115092698,RetroUSB-AVS,FPGA-based NES clone,retroUSB,
http://www.wikidata.org/entity/Q115094035,CollectorVision Phoenix,home game console,CollectorVision Games,
http://www.wikidata.org/entity/Q115162625,Hyperkin RetronGX,home game console,Hyperkin,
http://www.wikidata.org/entity/Q115163244,Retro-Bit Super Retro-Cade,home video game console,Retro-bit,
http://www.wikidata.org/entity/Q115165012,Hyperkin RetroN DIY,home game console,Hyperkin,
http://www.wikidata.org/entity/Q115167618,Hyperkin RetroN 3,home game console,Hyperkin,
http://www.wikidata.org/entity/Q115167674,Hyperkin RetroN 3 HD,home video game console,Hyperkin,
http://www.wikidata.org/entity/Q115167923,Hyperkin RetroN 1 HD,home video game console,Hyperkin,
http://www.wikidata.org/entity/Q115167972,Hyperkin RetroN 1 AV,home video game console,Hyperkin,
http://www.wikidata.org/entity/Q115168142,Hyperkin RetroN 2,home video game console,Hyperkin,
http://www.wikidata.org/entity/Q115168153,Hyperkin RetroN 2 HD,home video game console,Hyperkin,
http://www.wikidata.org/entity/Q115295007,R-Kaid-R,tabletop portable arcade system,Love Hultén,
http://www.wikidata.org/entity/Q115295247,R-Kaid-R SK-4,tabletop portable video game console,Love Hultén,
http://www.wikidata.org/entity/Q115295360,BOB180,artistic concept game console or arcade machine,Love Hultén,
http://www.wikidata.org/entity/Q115295530,Geoboi,artistic game console,Love Hultén,
http://www.wikidata.org/entity/Q1190117,Super Game Boy,add-on for the Super NES video game console,Nintendo,
http://www.wikidata.org/entity/Q127669857,The 400 Mini,retrogaming console,Retro Games Limited,
http://www.wikidata.org/entity/Q139955423,Board (game console),Tabletop video game console developed by Board.fun,Board (company),2025-01-01T00:00:00Z
http://www.wikidata.org/entity/Q15015195,Apple Pippin,multimedia electronics platform by Apple,Bandai,
http://www.wikidata.org/entity/Q24192113,Playmaster,TV and Pong console,Salora,
http://www.wikidata.org/entity/Q2502670,VTech CreatiVision,home video game console,VTech,
http://www.wikidata.org/entity/Q25103632,ZX Spectrum Vega,home game console based on the ZX Spectrum home computer,Retro Computers Ltd,
http://www.wikidata.org/entity/Q29583519,New Nintendo 2DS XL,handheld video game console,Nintendo,
http://www.wikidata.org/entity/Q2984368,Color TV-Game Racing 112,"Pong console with 112 combinations of games, not 112 games",Nintendo,
http://www.wikidata.org/entity/Q3388702,Ping-O-Tronic,Pong home console,Electrolux Italy,
http://www.wikidata.org/entity/Q3552867,V.Flash,educational home video game console,VTech,
